ensembl_gene_id	mmusculus_homolog_ensembl_gene	dmelanogaster_homolog_ensembl_gene	scerevisiae_homolog_ensembl_gene
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDL194W
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDL138W
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YEL069C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YNR072W
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDL245C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YJR158W
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YLR081W
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDR342C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDR343C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YHR092C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YDR345C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0028563	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0033047	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0034247	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0036316	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0028560	YHR094C
ENSG00000142583	ENSMUSG00000028976	FBgn0031520	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0015230	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0038414	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0038415	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0038416	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0029932	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0034045	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0031523	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0031522	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0053282	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0031517	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0037485	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0037486	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0053281	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0033644	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0050035	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0028562	YHR096C
ENSG00000142583	ENSMUSG00000028976	FBgn0028561	YHR096C
